trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,3,-84.69315920522816,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-251.22861193455654,"{0: 10, 1: 3, 2: 7, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-96.72976763191676,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,9,-8.041122141065888,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,13,1.8132481699912735,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-115.45892266993789,"{0: 21, 1: 5, 2: 1, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-94.93072810716608,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-95.93811383852778,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,17.918347514810783,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,19,-31.641286681394806,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-160.98286288180134,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-52.030714090567514,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,7,-18.306173539089993,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,8,-15.857256681209892,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,14,9.656210466793752,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,6,26.89695599001471,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,16,8.91704658247614,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",35,12,-33.89983400223676,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-51.92856102277888,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0}",30,18,21.693698825561356,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,16,9.06176320793616,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,3,8.134696073180852,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,2,39.50597004932386,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,6,28.292136768917572,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-16.986136892226103,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0.0, 'e': 0.0}",30,21,14.83807797833845,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",30,16,-58.30690293181538,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,13,23.28469199294307,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,9,25.44428852858451,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,13,-22.47697201366088,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
